Redbank Plains (Ipswich City),34,0,0,0,4,0,0
Redbank (Ipswich City),3,0,0,0,0,0,0
Redcliffe (Redcliffe City),25,0,0,0,5,0,0
Redland Bay (Redland Shire),17,0,0,0,3,0,0
Regents Park (Logan City),11,0,0,0,0,0,3
Richlands (Brisbane City),0,0,0,0,3,0,0
Ripley (Ipswich City),3,0,0,0,3,0,0
Riverhills (Brisbane City),8,0,0,0,0,0,0
Riverview (Ipswich City),7,0,0,0,3,0,0
Robertson (Brisbane City),14,0,0,0,0,0,0
Rochedale South (Logan City),21,0,0,0,3,0,0
Rocklea (Brisbane City),7,0,0,0,3,0,0
Rothwell (Redcliffe City),4,0,0,0,0,0,0
Runcorn (Brisbane City),46,0,0,0,6,0,0
Sadliers Crossing (Ipswich City),3,0,0,0,0,0,0
Salisbury (Brisbane City),19,0,0,0,0,0,0
Sandgate (Brisbane City),5,0,0,0,0,0,0
Scarborough (Redcliffe City),35,0,0,0,0,0,7
Seven Hills (Brisbane City),5,0,0,0,0,0,0
Seventeen Mile Rocks (Brisbane City),3,0,0,0,0,0,0
Shailer Park (Logan City),35,0,0,0,0,0,3
Sherwood (Brisbane City),14,0,0,0,3,0,0
Shorncliffe (Brisbane City),7,0,0,0,3,0,0
Silkstone (Ipswich City),16,0,0,0,0,0,0
Sinnamon Park (Brisbane City),10,0,0,0,0,0,0
Slacks Creek (Logan City),20,0,0,0,3,0,0
South Brisbane (Brisbane City),4,0,0,0,0,0,0
Spring Hill (Brisbane City),13,0,0,0,0,0,0
Springfield (Ipswich City),6,0,0,0,3,0,0
Springwood (Logan City),17,0,0,0,3,0,3
St Lucia (Brisbane City),18,0,0,0,0,0,0
Stafford Heights (Brisbane City),6,0,0,0,0,0,0
Stafford (Brisbane City),12,0,0,0,0,0,0
Strathpine (Pine Rivers Shire),34,0,0,0,0,0,0
Stretton (Brisbane City),15,0,0,0,0,0,3
Sumner (Brisbane City),0,0,0,0,0,0,0
Sunnybank Hills (Brisbane City),53,0,0,0,9,0,0
Sunnybank (Brisbane City),33,0,0,0,4,0,4
Taigum (Brisbane City),12,0,0,0,3,0,0
Tanah Merah (Logan City),9,0,0,0,0,0,0
Taringa (Brisbane City),9,0,0,0,0,0,0
Tarragindi (Brisbane City),17,0,0,0,3,0,0
Tennyson (Brisbane City),0,0,0,0,0,0,0
The Gap (Brisbane City),43,0,0,0,3,0,0
Thorneside (Redland Shire),10,0,0,0,0,0,0
Thornlands (Redland Shire),19,0,0,0,0,0,0
Tingalpa (Brisbane City),18,0,0,0,0,0,0
Tivoli (Ipswich City),4,0,0,0,0,0,0
Toowong (Brisbane City),27,0,0,0,0,0,0
Underwood (Logan City),6,0,0,0,0,0,0
Upper Caboolture (Caboolture Shire),8,0,0,0,0,0,0
Upper Kedron (Brisbane City),0,0,0,0,0,0,0
Upper Mount Gravatt (Brisbane City),9,0,0,0,6,0,0
Victoria Point (Redland Shire),42,0,0,0,0,0,3
Virginia (Brisbane City),3,0,0,0,0,0,0
Wacol (Brisbane City),0,0,0,0,0,0,0
Wakerley (Brisbane City),12,0,0,0,0,0,0
Walloon (Ipswich City),0,0,0,0,0,0,0
Warner (Pine Rivers Shire),20,0,0,0,0,0,0
Waterford West (Logan City),12,0,0,0,0,0,0
Waterford (Gold Coast City),0,0,0,0,0,0,0
Wavell Heights (Brisbane City),16,0,0,0,0,0,0
Wellington Point (Redland Shire),22,0,0,0,0,0,0
West End (Brisbane City),12,0,0,0,4,0,0
West Ipswich (Ipswich City),3,0,0,0,0,0,0
Westlake (Brisbane City),7,0,0,0,3,0,0
Willawong (Brisbane City),0,0,0,0,0,0,0
Wilston (Brisbane City),7,0,0,0,0,0,0
Windaroo (Gold Coast City),9,0,0,0,0,0,0
Windsor (Brisbane City),13,0,0,0,0,0,0
Wishart (Brisbane City),15,0,0,0,0,0,0
Woodend (Ipswich City),4,0,0,0,0,0,0
Woodridge (Logan City),38,0,0,0,6,0,3
Woody Point (Redcliffe City),15,0,0,0,0,0,0
Woolloongabba (Brisbane City),11,0,0,0,0,0,0
Wooloowin (Brisbane City),10,0,0,0,4,0,0
Wynnum West (Brisbane City),22,0,0,0,3,0,3
Wynnum (Brisbane City),28,0,0,0,4,0,3
Yamanto (Ipswich City),11,0,0,0,0,0,0
Yatala (Gold Coast City),5,0,0,0,0,0,0
Yeerongpilly (Brisbane City),0,0,0,0,0,0,0
Yeronga (Brisbane City),14,0,0,0,0,0,3
Zillmere (Brisbane City),21,0,0,0,3,0,0
Arundel (Gold Coast City),29,0,0,0,3,0,0
Ashmore (Gold Coast City),30,0,0,0,3,0,3
Benowa (Gold Coast City),24,0,0,0,5,0,3
Biggera Waters (Gold Coast City),20,0,0,0,0,0,0
Bilinga (Gold Coast City),4,0,0,0,0,0,0
Bonogin (Gold Coast City),3,0,0,0,0,0,0
